day,RT_count,followers_count,sentiment,binary_opinion,year,week_number,norm_followers_count,norm_RT_count,tweet_value,stablity,indicator,macron,fillion,lePen,hamon
2017-01-03,478609.0,47180647.0,4716.349999999999,4623,18534213.0,9189.0,1.4001604197408517,9193.615189531643,1.4006284522427477,0.6406812097309655,0.45742410037799724,0.6992725353311712,0.2673818661987866,0.9446560883039904,0.9992536857399152
2017-01-04,769615.0,69498708.0,4660.95,4812,18031980.0,8940.0,2.0624842250409765,8947.421337859078,2.062820783542092,1.021708214398537,0.4952966455205821,0.9348906385384322,0.12676563798296447,0.7025706591059435,0.9959464039960265
2017-01-05,297757.0,52402017.0,4671.2,5214,16722947.0,8291.0,1.5551128435773092,8293.871247697753,1.5552347873803434,0.8336190958564821,0.5360085194986156,0.9533285826181497,0.17935868988438333,0.7348319173379783,1.0
2017-01-06,345676.0,62159676.0,5676.4,5990,19181670.0,9510.0,1.8446868276120787,9513.333326904718,1.8449505256385483,1.1717783688111092,0.6351272581716249,0.9751269125707862,0.20748146068631695,0.7587387970661671,0.996896226904971
2017-01-07,479968.0,28167049.0,5564.4,5652,18739947.0,9291.0,0.8359017872455444,9295.628294263424,0.8360803471165317,0.587746019501506,0.702977915374426,0.9330764273249514,0.1569632592411214,0.833834153537695,0.9986695580333875
2017-01-08,122083.0,3488952.0,1167.85,1209,4221581.0,2093.0,0.10354017605514575,2094.177236916965,0.10357219401550356,0.05690221997841064,0.5493966843059541,0.78794791305809,0.2319308601179679,0.9149259851000799,1.0
2017-01-14,23569.0,555376.0,199.6,206,718052.0,712.0,0.01648166234926781,356.2272740422167,0.016487223251360896,0.008074392964472597,0.48973637594226893,0.6364468104334933,0.24186519816679042,0.9453513129879348,1.0
2017-01-15,1372299.0,56930586.0,8250.75,9114,30424428.0,30168.0,1.6895053005494531,15097.232973009459,1.6898565921403987,0.8411926818720394,0.4977893898124051,0.5477204498996697,0.3641822443108357,0.8685691383039899,0.9923244862686533
2017-01-16,810628.0,69225743.0,7079.75,7803,23550492.0,35028.0,2.0543835563711603,11683.816823042727,2.0546532103288397,1.2263191038606638,0.596849676478687,0.75565533890923,0.2323375809494938,0.9242963210548096,0.9965649237265763
2017-01-17,401027.0,53886554.0,4795.2,5103,15764872.0,23448.0,1.599168830114349,7819.867072312276,1.5993463001564905,0.9075358843304309,0.5674417630763466,0.7133647437966755,0.29246912156003324,0.9538222943956614,0.996561943884453
2017-01-18,303332.0,24101371.0,3787.0499999999997,3928,13100415.0,19485.0,0.7152463537791245,6497.925006991119,0.7153637527660217,0.39098276858582076,0.5465509918192651,0.7219664479261118,0.17053617596310475,0.8550357786583834,1.0
2017-01-19,434159.0,74585295.0,8775.4,9525,27647019.0,41121.0,2.213436749896525,13711.186561623097,2.213600802712272,1.6433623936501782,0.7423932949593285,0.9627270831389086,0.317702436247345,0.8271311966297685,1.0
2017-01-20,383735.0,40457313.0,4911.5,5343,16979106.0,25254.0,1.200634835543205,8421.700326895076,1.2008104557351376,0.8549689310353327,0.7119932433565627,0.9372925773985816,0.30175656076896173,0.9102286909382877,0.5775522832241391
2017-01-21,1136223.0,31691793.0,4358.9,4456,16860103.0,25077.0,0.9405041475844997,8369.956510419177,0.9408611262205471,0.6366660072940039,0.6766843581384859,0.9166790791830006,0.19429231434443914,0.9504214589597139,0.9997411714502437
2017-01-22,35390270.0,90156196.0,9579.85,10184,38038603.0,56577.0,2.6755278967157547,19200.265633588228,2.6806229196299367,1.4426857309457273,0.5381904781836648,0.8743367670695775,0.11302569259949474,0.9478752625571121,0.9992502968148321
2017-01-23,71144364.0,103820968.0,8748.05,9458,35402384.0,70208.0,3.0810516467224693,18238.0395938401,3.0910507459251226,1.8710311036382543,0.605305851450288,0.7772180335457163,0.39304738511329523,0.7826720625552546,0.9986418459635468
2017-01-24,21980667.0,73226444.0,11492.3,9957,47256293.0,93716.0,2.1731106944584706,23640.95787007126,2.1766801260177493,1.247292748565794,0.5730252845408776,0.8074757554563444,0.136967788374075,0.5956103971166884,0.9991205986380381
2017-01-25,19368662.0,191425465.0,20153.7,14084,92769898.0,183976.0,5.680853834486155,46180.77050808559,5.684927717388544,2.4147206664845897,0.424758376276036,0.8132753315877194,0.04463594624717635,0.7521169888512677,0.9999185809997202
2017-01-26,11970699.0,192303793.0,14384.35,11114,66044648.0,130976.0,5.706919608894678,32859.432523649266,5.709835465520582,2.6569010121114776,0.4653200653776177,0.9135242505546337,0.051303226322266825,0.8437341475643928,0.9999852568687224
2017-01-27,8199500.0,166049716.0,15482.3,11481,70340858.0,139496.0,4.927788295323912,34953.067143669905,4.929791408557021,2.256025309394516,0.4576309872824554,0.9387942136159757,0.04726208567189371,0.9017858216061708,0.9999884536598843
2017-01-28,18808885.0,89617382.0,13734.949999999999,10111,61536653.0,122036.0,2.6595377379457354,30690.37262181422,2.6631736389136056,1.1766379395696516,0.4418179582348375,0.8984450711392937,0.06917255411462479,0.8222796707239824,0.9995414896055165
2017-01-29,24319764.0,276022136.0,24334.05,23146,98599028.0,195536.0,8.191394022204198,49118.513601342296,8.19666082952795,4.276684290754252,0.5217593334285309,0.9349253667911323,0.1858901814803783,0.8225858605320664,0.9594465791758365
2017-01-30,7105610.0,147899134.0,13563.199999999999,13946,54567918.0,135270.0,4.389141029387504,27122.518847092175,4.390871401153268,2.2510361619270713,0.5126627396411186,0.8761341299344573,0.12180717574933547,0.8651475542919207,0.9995899872176273
2017-01-31,10477300.0,256345316.0,20442.5,15116,93483916.0,231740.0,7.607453226513855,46449.03179271574,7.6099104148444265,3.1801758164751086,0.41789924494664665,0.9156012061619248,0.03444456781372788,0.8948983500547917,0.9997968190358141
2017-02-01,19492910.0,495652266.0,30198.85,23511,129937157.0,322105.0,14.709265958308377,64608.96862192993,14.713568681995351,6.776745233554256,0.4605779454339177,0.8234786910312331,0.0789536375571428,0.8275719389192405,0.9966157072400589
2017-02-02,12875946.0,330740841.0,26055.149999999998,20055,116929524.0,289860.0,9.81525825112153,58096.161750383304,9.818375934312158,3.960371460876277,0.4033631923825625,0.901442118711799,0.04995250443229169,0.9698007268165035,0.9996880482056975
2017-02-03,8883914.0,243047433.0,19777.899999999998,16949,84776527.0,210155.0,7.212817488624446,42116.6668948825,7.215081801291557,3.7115851526065486,0.5144203842487476,0.9062974373561816,0.07031504180649632,0.9093587013100698,0.9980863705864338
2017-02-04,8382696.0,177520097.0,27150.5,26370,91906622.0,227830.0,5.268190017147427,45646.833688514314,5.270844792886841,3.3153879527537886,0.6290050424607458,0.9248841623835844,0.11405734046620765,0.9517703743875338,0.9972753471345279
2017-02-05,17486428.0,235649241.0,29143.149999999998,33689,106322121.0,263565.0,6.993264424503825,52881.62027135184,6.997944529414468,3.813260959703795,0.5449115727733352,0.7398870188854076,0.1503597139240264,0.895706159513982,0.9994896860822503
2017-02-06,24245676.0,475040167.0,35967.549999999996,28890,158951702.0,472836.0,14.097569277091182,79039.79917649442,14.10447843540511,5.64760219172275,0.40041198386649446,0.8609169692362498,0.10608776870410809,0.9342256686173206,0.9995784465329219
2017-02-07,75130469.0,391050341.0,27469.0,20375,126736178.0,377004.0,11.60503817580889,63558.47729573879,11.617906031874881,4.4671212847733,0.3845031344303619,0.6838920961993669,0.07691786818108409,0.8920607185777348,0.9984552717572196
2017-02-08,45834964.0,203262348.0,19840.6,16515,84492130.0,251340.0,6.032132083589084,42331.98300917042,6.04030871507993,2.7095967051986447,0.4485857980129397,0.8320559106128949,0.10322134876292731,0.8718911874019897,0.9983199582715205
2017-02-09,23351354.0,243092114.0,20511.75,17970,83887030.0,249540.0,7.21414346806077,41815.17529868952,7.218894158585093,3.096351320986472,0.4289232191199432,0.7249492827971976,0.07267152139377832,0.518688083929553,0.9984454202764373
2017-02-10,11455394.0,94269958.0,13097.75,12657,51619064.0,153552.0,2.797610299032831,25702.463477430738,2.799984673351767,1.5198611513704847,0.5428105252987369,0.8489744291242817,0.12032875419551514,0.7932297386550586,0.9880333624088123
2017-02-11,18010960.0,83734533.0,13792.35,13452,52486374.0,156132.0,2.484954877199632,26195.678292816985,2.488401503392881,1.24038183835656,0.49846531464690347,0.8266184347858277,0.14035602551582457,0.7567570215867397,0.9996547332339413
2017-02-12,11237463.0,100066979.0,14628.35,14561,56221858.0,167244.0,2.969646077953085,27982.361985670617,2.9723238445742646,1.7370673585118734,0.5844138961112022,0.8594384564862327,0.2075179101555748,0.6757499337441981,0.9998196787972127
2017-02-13,8037715.0,156112639.0,15214.05,15459,54949131.0,190701.0,4.63288979799476,27320.507063440786,4.634842378049144,3.272511758121397,0.7060675404238521,0.9358989509526087,0.08895194773351586,0.5377957214732005,0.9992958335427424
2017-02-14,6229172.0,199670844.0,17632.2,16714,64892941.0,225211.0,5.925548514522281,32233.067423314656,5.927676850194357,3.3207830466549666,0.560216612777413,0.8534977945751758,0.16477204470078294,0.9284213496398507,0.9990514949112159
2017-02-15,8785235.0,191148979.0,20159.4,19636,75415630.0,261730.0,5.672648674565129,37474.715340925526,5.675002695721836,3.1081163203770856,0.5476854350607047,0.8348949082279427,0.15749546715689433,0.7379330571960266,0.9970197505366143
2017-02-16,9873333.0,299392359.0,25318.55,24640,95327454.0,330834.0,8.884942401163844,47357.20778569569,8.8879738906054,4.065307728826169,0.4573942024203294,0.6385455974930669,0.08142205984420607,0.9369269187707495,0.9983652436381554
2017-02-17,8081933.0,226849976.0,21721.65,22005,77773503.0,269913.0,6.732132300228145,38636.9334541913,6.734216096365773,4.014227735518684,0.5960942859681955,0.824974796688974,0.20651180893219526,0.8503440201338948,0.9990874388080602
2017-02-18,8777698.0,134082705.0,21769.95,22640,74038019.0,256949.0,3.979116617726518,36791.642662218066,3.981005426020787,2.5570292547924818,0.642307402566984,0.8426642537241139,0.18096893134479144,0.877492403025231,0.9989231992106978
2017-02-19,5757701.0,119311011.0,17340.05,19613,62968723.0,218533.0,3.5407432043368408,31274.521064964367,3.542351669008185,1.9946651448551809,0.5630906615812266,0.7425220839456144,0.20388555558299495,0.6846324178702532,0.9966066959612198
2017-02-20,4680235.0,131892136.0,15079.199999999999,16336,54452949.0,215976.0,3.9141080134462225,27042.131143747047,3.915387049584024,2.1699704709077126,0.5542160821976089,0.7813103017465897,0.09677676683239105,0.8642232398607248,0.9995979645387638
2017-02-21,5680390.0,230449016.0,20004.2,21442,73374426.0,291024.0,6.8389395120297145,36432.77556097702,6.8410106670123865,3.643742954882334,0.5326322574605242,0.734210347185546,0.06990021222393901,0.8508896911255986,0.999849562975835
2017-02-22,7852177.0,232639694.0,26748.8,28447,89086856.0,353344.0,6.903951351057634,44243.717934871696,6.906476690268315,4.393988214129682,0.6362127045648477,0.8065149064790783,0.1276943767317051,0.8177963937028697,0.9998216039377296
2017-02-23,7027370.0,228016600.0,21413.65,25579,74931550.0,297200.0,6.7667537150111965,37217.76438482975,6.770406778034158,4.751953468664444,0.7018711909721045,0.9269318961377465,0.18084659725352012,0.7700031845862209,0.9998589026731157
2017-02-24,5963597.0,264560799.0,24623.9,25881,85387678.0,338672.0,7.85126069540367,42391.50650415128,7.85326972371622,5.466781904523231,0.6961153884749437,0.9418308733964897,0.0673861645023196,0.663056655143872,0.9991470517893636
2017-02-25,3795033.0,107192499.0,17500.6,17674,61056607.0,242168.0,3.1811071686429147,30307.595209396062,3.182250639045731,1.9919154657948677,0.6259454995010035,0.9252509576970229,0.12257360433322877,0.7111811681249877,0.9966667722002954
2017-02-26,4746974.0,160028824.0,20288.75,22625,71252542.0,282608.0,4.749108789934035,35371.77470275691,4.750715117553387,2.954354446008166,0.6218757330011518,0.8574454295863634,0.10566308591657178,0.8725251928787929,0.999302718328943
2017-02-27,8410087.0,149063626.0,19066.45,19869,76555235.0,341595.0,4.423699173694106,38036.09781780662,4.42573887062524,2.4949616483168517,0.563739009745141,0.8249882521397072,0.1860214818801688,0.7383977395266923,0.9999456610422033
2017-02-28,6056519.0,123397980.0,19149.25,21338,69098386.0,308322.0,3.6620304819468292,34316.40254380297,3.6635248482123632,2.048048754752007,0.5590377681623652,0.7819511753319451,0.15265241885779263,0.9038056132149596,0.9999973530927272
2017-03-01,18915717.0,709295675.0,48896.45,39444,204386644.0,911988.0,21.04947246756431,101514.40279451896,21.055101141043075,8.904119780880258,0.42289608210540974,0.9111626022430995,0.09028061224811974,0.8650635237953858,0.9924452857326468
2017-03-02,15925823.0,463852125.0,41598.3,39264,153352510.0,684270.0,13.76554641223309,76183.5714781636,13.769894272877513,7.660557309853045,0.5563265162421765,0.845038525842351,0.17766710957396692,0.7380875562487713,0.9992777398991909
2017-03-03,12203512.0,402312274.0,38739.0,37419,148303959.0,661743.0,11.939253873113197,73644.67752138317,11.942667848642168,5.614232098104277,0.47009865544762613,0.8287282400564387,0.15946961708310814,0.801896832994239,0.9996530840890817
2017-03-04,10823238.0,202835544.0,32245.5,32630,119021153.0,531081.0,6.019465998959361,59113.367646066166,6.022854533231574,3.089843525017335,0.5130197828901363,0.8426282965997899,0.17580812953129135,0.7498354692957311,0.9991666260215096
2017-03-05,14706990.0,398318551.0,48036.299999999996,47236,187538643.0,836811.0,11.820733818226948,93120.81836591034,11.82489835490725,5.703822108441765,0.4823569672440118,0.923294373481777,0.21705103850769558,0.8905351857967022,0.9998902043677488
